scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,mc_se,ci95_low,ci95_high,seed_count,perturbation_type,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols_f,power,500,0.6,,,0.776,0.21999999999999997,,388.0,500.0,1.6690616607666016,,,,2,uniform,0.6,0.4291401629999999
aggregate,,baseline_ols_f,power,500,0.75,,,0.78,0.21999999999999997,,390.0,500.0,1.6841719150543213,,,,2,uniform,0.75,0.4682544150375
aggregate,,baseline_ols_f,power,500,1.0,,,0.758,0.242,,379.0,500.0,1.7018789052963257,,,,2,uniform,1.0,0.45514329141645
aggregate,,baseline_ols,type1_error,50,,,,0.05,0.009999999999999998,-3.469446951953614e-18,2.5,50.0,7.627769112586975,0.021794494717703367,0.007282790353301406,0.0927172096466986,2,,,
aggregate,,baseline_ols,type1_error,100,,,,0.055,0.025,0.0049999999999999975,5.5,100.0,13.576254844665527,0.016120638945153507,0.02340354766749913,0.08659645233250088,2,,,
aggregate,,baseline_ols,type1_error,300,,,,0.045,0.008333333333333335,-0.005000000000000001,13.5,300.0,40.359099984169006,0.008463155439905378,0.028412215337785457,0.06158778466221454,2,,,
aggregate,,baseline_ols,type1_error,500,,,,0.05,0.0019999999999999983,-3.469446951953614e-18,25.0,500.0,67.2783430814743,0.006892024376045111,0.036491632222951584,0.06350836777704842,2,,,
aggregate,,baseline_ols,type1_error,1000,,,,0.053500000000000006,0.0034999999999999996,0.0034999999999999996,53.5,1000.0,121.28583586215973,0.005031786462082826,0.04363769853431767,0.06336230146568235,2,,,
aggregate,,baseline_ols,type1_error,2000,,,,0.04575,0.0007500000000000007,-0.004250000000000004,91.5,2000.0,239.91900289058685,0.0033036698344416924,0.039274807124494285,0.05222519287550571,2,,,
aggregate,,baseline_ols,power,500,0.1,,,0.063,0.0030000000000000027,,31.5,500.0,67.16946148872375,,,,2,uniform,0.1,0.09999999999999995
aggregate,,baseline_ols,power,500,0.2,,,0.174,0.041999999999999996,,87.0,500.0,67.40874135494232,,,,2,uniform,0.2,0.19999999999999998
aggregate,,baseline_ols,power,500,0.3,,,0.32699999999999996,0.037000000000000005,,163.5,500.0,67.63003194332123,,,,2,uniform,0.3,0.27149999999999996
aggregate,,baseline_ols,power,500,0.4,,,0.535,0.06899999999999998,,267.5,500.0,68.4752345085144,,,,2,uniform,0.4,0.33122000000000007
aggregate,,baseline_ols,power,500,0.5,,,0.6890000000000001,0.197,,344.5,500.0,71.77480757236481,,,,2,uniform,0.5,0.38286024999999996
aggregate,,baseline_ols,power,500,0.6,,,0.714,0.27799999999999997,,357.0,500.0,67.24758756160736,,,,2,uniform,0.6,0.4291401629999999
aggregate,,baseline_ols,power,500,0.75,,,0.733,0.26699999999999996,,366.5,500.0,67.3231246471405,,,,2,uniform,0.75,0.4682544150375
aggregate,,baseline_ols,power,500,1.0,,,0.729,0.26699999999999996,,364.5,500.0,67.40429961681366,,,,2,uniform,1.0,0.45514329141645
