scope,seed,model,metric,M,delta,target_fro,actual_fro,value,size_distortion,rejections,effective_iterations,runtime_sec
seed,42,lowrank_svd_n10,power,500,0.1,0.1,0.10000000000000003,0.05,,25,500,86.01054906845093
seed,42,lowrank_svd_n10,power,500,0.15,0.15,0.15,0.084,,42,500,86.46955227851868
seed,42,lowrank_svd_n10,power,500,0.2,0.2,0.20000000000000007,0.124,,62,500,85.97014117240906
seed,42,lowrank_svd_n10,power,500,0.3,0.3,0.3,0.372,,186,500,86.21512794494629
seed,42,lowrank_svd_n10,power,500,0.5,0.5,0.5,0.996,,498,500,86.08092975616455
seed,42,lowrank_svd_n20,type1_error,50,,,,0.08,0.03,4,50,11.120224952697754
seed,42,lowrank_svd_n20,type1_error,100,,,,0.06,0.009999999999999995,6,100,20.627401113510132
seed,42,lowrank_svd_n20,type1_error,300,,,,0.06333333333333334,0.013333333333333336,19,300,67.3238730430603
seed,42,lowrank_svd_n20,type1_error,500,,,,0.058,0.008,29,500,114.70167827606201
seed,42,lowrank_svd_n20,type1_error,1000,,,,0.062,0.011999999999999997,62,1000,207.5192129611969
seed,42,lowrank_svd_n20,type1_error,2000,,,,0.0815,0.0315,163,2000,413.55329489707947
seed,42,lowrank_svd_n20,power,500,0.05,0.05,0.05000000000000002,0.082,,41,500,115.4707899093628
seed,42,lowrank_svd_n20,power,500,0.1,0.1,0.1,0.074,,37,500,115.96249914169312
seed,42,lowrank_svd_n20,power,500,0.15,0.15,0.14999999999999997,0.07,,35,500,115.60384798049927
seed,42,lowrank_svd_n20,power,500,0.2,0.2,0.2,0.112,,56,500,116.06872391700745
seed,42,lowrank_svd_n20,power,500,0.3,0.3,0.29999999999999993,0.156,,78,500,115.91594529151917
seed,42,lowrank_svd_n20,power,500,0.5,0.5,0.5000000000000001,0.874,,437,500,116.19870376586914
seed,2026,baseline_ols_n5,type1_error,50,,,,0.04,-0.010000000000000002,2,50,7.564594745635986
seed,2026,baseline_ols_n5,type1_error,100,,,,0.07,0.020000000000000004,7,100,13.468058109283447
seed,2026,baseline_ols_n5,type1_error,300,,,,0.04,-0.010000000000000002,12,300,43.766607999801636
seed,2026,baseline_ols_n5,type1_error,500,,,,0.062,0.011999999999999997,31,500,74.21616315841675
seed,2026,baseline_ols_n5,type1_error,1000,,,,0.051,0.000999999999999994,51,1000,135.46134781837463
seed,2026,baseline_ols_n5,type1_error,2000,,,,0.0545,0.004499999999999997,109,2000,270.7932958602905
seed,2026,baseline_ols_n5,power,500,0.05,0.05,0.050000000000000024,0.052,,26,500,74.24348092079163
seed,2026,baseline_ols_n5,power,500,0.1,0.1,0.10000000000000003,0.102,,51,500,74.46858477592468
seed,2026,baseline_ols_n5,power,500,0.15,0.15,0.15,0.154,,77,500,74.25961804389954
seed,2026,baseline_ols_n5,power,500,0.2,0.2,0.20000000000000007,0.316,,158,500,74.31356906890869
seed,2026,baseline_ols_n5,power,500,0.3,0.3,0.3,0.7,,350,500,74.12698698043823
seed,2026,baseline_ols_n5,power,500,0.5,0.5,0.5,1.0,,500,500,74.71514081954956
seed,2026,baseline_ols_n10,type1_error,50,,,,0.02,-0.030000000000000002,1,50,7.9776129722595215
seed,2026,baseline_ols_n10,type1_error,100,,,,0.07,0.020000000000000004,7,100,14.7589750289917
seed,2026,baseline_ols_n10,type1_error,300,,,,0.07333333333333333,0.02333333333333333,22,300,47.4849169254303
seed,2026,baseline_ols_n10,type1_error,500,,,,0.062,0.011999999999999997,31,500,80.90507793426514
seed,2026,baseline_ols_n10,type1_error,1000,,,,0.052,0.001999999999999995,52,1000,146.0737340450287
seed,2026,baseline_ols_n10,type1_error,2000,,,,0.051,0.000999999999999994,102,2000,290.3238477706909
seed,2026,baseline_ols_n10,power,500,0.05,0.05,0.05000000000000004,0.074,,37,500,80.600417137146
seed,2026,baseline_ols_n10,power,500,0.1,0.1,0.10000000000000006,0.058,,29,500,80.90122127532959
seed,2026,baseline_ols_n10,power,500,0.15,0.15,0.15000000000000008,0.148,,74,500,84.19100618362427
seed,2026,baseline_ols_n10,power,500,0.2,0.2,0.2000000000000001,0.252,,126,500,82.72131204605103
seed,2026,baseline_ols_n10,power,500,0.3,0.3,0.3,0.704,,352,500,83.46008610725403
seed,2026,baseline_ols_n10,power,500,0.5,0.5,0.49999999999999994,1.0,,500,500,80.80477690696716
seed,2026,baseline_ols_n20,type1_error,50,,,,0.04,-0.010000000000000002,2,50,10.229645013809204
seed,2026,baseline_ols_n20,type1_error,100,,,,0.05,0.0,5,100,18.928401947021484
seed,2026,baseline_ols_n20,type1_error,300,,,,0.06333333333333334,0.013333333333333336,19,300,60.83581900596619
seed,2026,baseline_ols_n20,type1_error,500,,,,0.038,-0.012000000000000004,19,500,103.33014917373657
seed,2026,baseline_ols_n20,type1_error,1000,,,,0.049,-0.0010000000000000009,49,1000,188.0913851261139
seed,2026,baseline_ols_n20,type1_error,2000,,,,0.0485,-0.0015000000000000013,97,2000,377.561399936676
seed,2026,baseline_ols_n20,power,500,0.05,0.05,0.05000000000000004,0.034,,17,500,103.25620198249817
seed,2026,baseline_ols_n20,power,500,0.1,0.1,0.10000000000000009,0.086,,43,500,120.62306809425354
seed,2026,baseline_ols_n20,power,500,0.15,0.15,0.15000000000000008,0.196,,98,500,2106.106719970703
seed,2026,baseline_ols_n20,power,500,0.2,0.2,0.20000000000000015,0.496,,248,500,114.08664298057556
seed,2026,baseline_ols_n20,power,500,0.3,0.3,0.3000000000000001,0.986,,493,500,107.59946274757385
seed,2026,baseline_ols_n20,power,500,0.5,0.5,0.3644999999999999,1.0,,500,500,107.86418318748474
seed,2026,baseline_ols_f_n5,type1_error,50,,,,0.12,0.06999999999999999,6,50,0.10527682304382324
