scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,rejections_total,effective_iterations_total,mc_se_pooled,ci95_low,ci95_high,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,baseline_ols_n20,power,500,0.5,0.5,,0.833,0.16699999999999998,,416.5,500.0,,,,,,106.36766016483307,2,0.5,0.43225
aggregate,,baseline_ols_f_n5,type1_error,50,,,,0.1,0.019999999999999997,0.049999999999999996,5.0,50.0,10,100,0.030000000000000002,0.0412,0.1588,0.10746443271636963,2,,
aggregate,,baseline_ols_f_n5,type1_error,100,,,,0.055,0.0049999999999999975,0.0049999999999999975,5.5,100.0,11,200,0.016120638945153507,0.02340354766749913,0.08659645233250088,0.6875696182250977,2,,
aggregate,,baseline_ols_f_n5,type1_error,300,,,,0.05333333333333333,0.013333333333333332,0.0033333333333333305,16.0,300.0,32,600,0.009173229973577907,0.035353802585120636,0.07131286408154604,0.10592246055603027,2,,
aggregate,,baseline_ols_f_n5,type1_error,500,,,,0.055,0.0049999999999999975,0.0049999999999999975,27.5,500.0,55,1000,0.00720936890441875,0.04086963694733925,0.06913036305266075,0.17284810543060303,2,,
aggregate,,baseline_ols_f_n5,type1_error,1000,,,,0.058,0.008,0.008,58.0,1000.0,116,2000,0.0052266624149642565,0.04775574166667006,0.06824425833332995,0.33131253719329834,2,,
aggregate,,baseline_ols_f_n5,type1_error,2000,,,,0.0545,0.0030000000000000027,0.004499999999999997,109.0,2000.0,218,4000,0.0035892112643309253,0.04746514592191139,0.06153485407808861,0.6546121835708618,2,,
aggregate,,baseline_ols_f_n5,power,500,0.05,0.05,,0.067,0.008999999999999998,,33.5,500.0,,,,,,0.17821502685546875,2,0.05,0.05000000000000003
aggregate,,baseline_ols_f_n5,power,500,0.1,0.1,,0.11800000000000001,0.018000000000000002,,59.0,500.0,,,,,,0.1724761724472046,2,0.1,0.10000000000000003
aggregate,,baseline_ols_f_n5,power,500,0.15,0.15,,0.23,0.027999999999999997,,115.0,500.0,,,,,,0.17056059837341309,2,0.15,0.15000000000000002
