scope,seed,model,metric,M,delta,target_fro,actual_fro,value_mean,value_std,size_distortion_mean,rejections_mean,effective_iterations_mean,runtime_sec_mean,seed_count,target_fro_mean,actual_fro_mean
aggregate,,sparse_lasso_n10,type1_error,300,,,,0.05,0.0,0.0,15.0,300.0,75.46828889846802,1,,
aggregate,,sparse_lasso_n10,type1_error,500,,,,0.06,0.0,0.009999999999999995,30.0,500.0,129.70736002922058,1,,
aggregate,,sparse_lasso_n10,type1_error,1000,,,,0.049,0.0,-0.0010000000000000009,49.0,1000.0,228.73867106437683,1,,
aggregate,,sparse_lasso_n10,type1_error,2000,,,,0.0565,0.0,0.006499999999999999,113.0,2000.0,454.16122007369995,1,,
aggregate,,sparse_lasso_n10,power,500,0.05,0.05,,0.062,0.0,,31.0,500.0,125.98358201980591,1,0.05,0.05000000000000002
aggregate,,sparse_lasso_n10,power,500,0.1,0.1,,0.084,0.0,,42.0,500.0,126.97635507583618,1,0.1,0.10000000000000003
aggregate,,sparse_lasso_n10,power,500,0.15,0.15,,0.09,0.0,,45.0,500.0,126.6833131313324,1,0.15,0.15000000000000002
aggregate,,sparse_lasso_n10,power,500,0.2,0.2,,0.172,0.0,,86.0,500.0,126.11357426643372,1,0.2,0.20000000000000007
aggregate,,sparse_lasso_n10,power,500,0.3,0.3,,0.352,0.0,,176.0,500.0,126.38608384132385,1,0.3,0.3
aggregate,,sparse_lasso_n10,power,500,0.5,0.5,,0.97,0.0,,485.0,500.0,126.81876492500305,1,0.5,0.49999999999999994
aggregate,,sparse_lasso_n20,type1_error,50,,,,0.06,0.0,0.009999999999999995,3.0,50.0,25.40903615951538,1,,
aggregate,,sparse_lasso_n20,type1_error,100,,,,0.05,0.0,0.0,5.0,100.0,48.039984703063965,1,,
aggregate,,sparse_lasso_n20,type1_error,300,,,,0.05,0.0,0.0,15.0,300.0,155.5553240776062,1,,
aggregate,,sparse_lasso_n20,type1_error,500,,,,0.076,0.0,0.025999999999999995,38.0,500.0,266.5587089061737,1,,
aggregate,,sparse_lasso_n20,type1_error,1000,,,,0.065,0.0,0.015,65.0,1000.0,480.24094676971436,1,,
aggregate,,sparse_lasso_n20,type1_error,2000,,,,0.0655,0.0,0.0155,131.0,2000.0,959.5619609355927,1,,
aggregate,,sparse_lasso_n20,power,500,0.05,0.05,,0.052,0.0,,26.0,500.0,265.62322998046875,1,0.05,0.05
aggregate,,sparse_lasso_n20,power,500,0.1,0.1,,0.066,0.0,,33.0,500.0,269.4203200340271,1,0.1,0.1
aggregate,,sparse_lasso_n20,power,500,0.15,0.15,,0.098,0.0,,49.0,500.0,269.39399909973145,1,0.15,0.15000000000000002
aggregate,,sparse_lasso_n20,power,500,0.2,0.2,,0.114,0.0,,57.0,500.0,270.3861699104309,1,0.2,0.2
aggregate,,sparse_lasso_n20,power,500,0.3,0.3,,0.222,0.0,,111.0,500.0,270.03177785873413,1,0.3,0.3
aggregate,,sparse_lasso_n20,power,500,0.5,0.5,,0.762,0.0,,381.0,500.0,271.25461506843567,1,0.5,0.5000000000000001
aggregate,,lowrank_svd_n5,type1_error,50,,,,0.1,0.0,0.05,5.0,50.0,3.7026078701019287,1,,
aggregate,,lowrank_svd_n5,type1_error,100,,,,0.04,0.0,-0.010000000000000002,4.0,100.0,5.792774200439453,1,,
aggregate,,lowrank_svd_n5,type1_error,300,,,,0.07,0.0,0.020000000000000004,21.0,300.0,18.114166021347046,1,,
aggregate,,lowrank_svd_n5,type1_error,500,,,,0.068,0.0,0.018000000000000002,34.0,500.0,30.67580819129944,1,,
aggregate,,lowrank_svd_n5,type1_error,1000,,,,0.064,0.0,0.013999999999999999,64.0,1000.0,55.75828313827515,1,,
aggregate,,lowrank_svd_n5,type1_error,2000,,,,0.0575,0.0,0.0075,115.0,2000.0,111.18094897270203,1,,
aggregate,,lowrank_svd_n5,power,500,0.05,0.05,,0.064,0.0,,32.0,500.0,30.89680004119873,1,0.05,0.05000000000000002
aggregate,,lowrank_svd_n5,power,500,0.1,0.1,,0.116,0.0,,58.0,500.0,30.827080965042114,1,0.1,0.10000000000000003
aggregate,,lowrank_svd_n5,power,500,0.15,0.15,,0.162,0.0,,81.0,500.0,30.90351176261902,1,0.15,0.15
aggregate,,lowrank_svd_n5,power,500,0.2,0.2,,0.328,0.0,,164.0,500.0,30.78061604499817,1,0.2,0.20000000000000004
aggregate,,lowrank_svd_n5,power,500,0.3,0.3,,0.756,0.0,,378.0,500.0,30.859591960906982,1,0.3,0.3
aggregate,,lowrank_svd_n5,power,500,0.5,0.5,,1.0,0.0,,500.0,500.0,30.837878942489624,1,0.5,0.5
