Date,SPY,EFA,EEM,AGG,TLT,TIP,GLD,VNQ,USO
2018-02-26,247.373,63.604,43.0644,98.6384,97.7143,102.79,126.45,63.2388,102.88
2018-02-27,244.281,62.6579,41.8123,98.4214,97.5728,102.563,125.13,61.7662,101.2
2018-02-28,241.822,62.066,41.2106,98.6962,98.2069,102.691,125.0,61.7269,98.96
2018-03-01,238.299,61.0251,41.1318,98.7858,98.8609,102.979,124.72,61.7849,98.8
2018-03-02,239.525,61.3176,41.304,98.6285,98.0787,102.909,125.39,61.7603,98.96
2018-03-05,242.26,61.6414,41.3645,98.5786,97.8029,102.85,125.18,62.4583,100.72
2018-03-06,242.903,62.0064,41.751,98.5986,97.8987,102.82,126.53,62.7512,100.56
2018-03-07,242.809,61.9878,41.7941,98.5786,97.7852,102.82,125.72,63.1395,98.8
2018-03-08,244.012,62.1198,41.8032,98.736,98.3392,102.919,125.42,63.2575,97.2
2018-03-09,248.244,62.517,42.6961,98.5498,97.6985,102.771,125.54,63.6016,99.76
2018-03-12,247.929,62.5885,42.7975,98.6086,98.2596,102.84,125.54,63.8788,98.96
2018-03-13,246.33,62.1736,42.4112,98.736,98.7574,102.919,125.78,63.9407,97.92
2018-03-14,245.057,62.3233,42.4809,98.8903,99.6093,103.087,125.7,63.9977,98.24
2018-03-15,244.771,62.2871,42.3252,98.9003,99.6093,103.097,124.9,63.9819,98.72
2018-03-16,245.057,62.2431,42.2318,98.8415,99.2501,102.929,124.6,64.4272,100.4
2018-03-19,241.756,61.7402,41.7766,98.746,98.9464,102.87,124.87,63.8708,100.4
2018-03-20,242.158,61.7305,42.241,98.5986,98.5612,102.721,124.31,63.6526,102.48
2018-03-21,241.697,61.8283,42.4881,98.5886,98.6786,102.929,126.48,63.1808,105.44
2018-03-22,235.65,60.6797,41.0715,98.7659,99.6292,103.216,125.98,62.8112,103.6
2018-03-23,230.634,60.0086,40.2407,98.7659,99.5468,103.276,127.61,61.6925,106.24
2018-03-26,236.939,61.0857,41.5449,98.736,99.163,103.097,128.28,62.3973,105.68
2018-03-27,232.892,60.6357,40.7894,99.0248,100.236,103.484,127.49,62.6352,104.64
2018-03-28,232.221,60.9899,40.5851,99.0886,100.503,103.484,125.73,64.2081,104.32
2018-03-29,235.199,61.5465,41.434,99.3773,101.005,103.692,125.79,64.1304,104.72
2018-04-02,230.117,60.6964,40.6877,99.2877,101.209,103.791,127.26,63.2643,101.92
2018-04-03,233.036,61.0857,41.0887,99.1682,100.405,103.731,126.3,63.8001,102.48
2018-04-04,235.552,61.298,41.1073,99.208,100.201,103.672,126.45,64.4725,102.56
2018-04-05,237.439,61.7041,41.2106,99.0546,99.4514,103.385,125.8,64.4469,102.64
2018-04-06,232.138,61.298,40.4037,99.2877,100.546,103.791,126.39,63.9613,100.08
2018-04-09,233.256,61.8019,40.446,99.3673,100.722,103.771,126.82,63.7579,102.16
2018-04-10,236.978,62.4642,41.2353,99.2977,100.527,103.731,127.12,63.6861,106.0
2018-04-11,235.725,62.2255,41.2518,99.3773,100.899,104.038,128.11,63.8256,107.6
2018-04-12,237.668,62.4642,41.2353,99.1582,100.142,103.87,126.62,63.113,108.16
2018-04-13,236.978,62.5249,40.824,99.1881,100.37,104.018,127.45,63.4413,108.4
2018-04-16,238.912,62.6227,40.8746,99.208,100.405,103.929,127.63,63.8336,107.04
2018-04-17,241.498,62.9074,40.9605,99.2379,100.699,104.088,127.75,64.5816,107.28
2018-04-18,241.658,63.2312,41.3133,98.9352,99.8757,103.87,127.85,64.4469,111.04
2018-04-19,240.329,62.9954,41.0715,98.6962,99.0562,103.701,127.6,63.512,110.16
2018-04-20,238.281,62.7567,40.5587,98.4214,98.3589,103.365,126.63,62.9242,110.0
2018-04-23,238.243,62.6775,40.2325,98.3715,98.3884,103.335,125.62,62.8732,111.36
2018-04-24,235.036,62.4212,40.043,98.2351,97.9515,103.048,126.23,63.113,109.44
2018-04-25,235.611,62.3145,39.7335,98.0978,97.2809,102.899,125.41,62.994,109.76
2018-04-26,238.023,62.6227,40.3085,98.2739,97.9789,103.147,124.97,63.8188,110.16
2018-04-27,238.234,62.6843,40.5587,98.4015,98.7112,103.484,125.5,64.9139,109.84
2018-04-30,236.403,62.4828,40.2664,98.4214,98.8885,103.573,124.59,64.6573,110.4
2018-05-01,236.817,62.2617,40.0687,98.3327,98.5347,103.276,123.71,65.2432,108.88
2018-05-02,235.238,62.2333,39.7518,98.3327,98.4296,103.394,123.65,65.0043,109.36
2018-05-03,234.701,62.428,39.6648,98.4512,98.8609,103.533,124.28,64.964,110.56
2018-05-04,237.756,62.6491,39.8452,98.52,99.0098,103.563,124.54,65.6777,112.72
2018-05-07,238.558,62.6579,39.6134,98.4712,98.8512,103.583,124.57,66.1191,112.8
2018-05-08,238.558,62.6677,39.8359,98.3517,98.7654,103.385,124.59,65.7888,112.48
2018-05-09,240.855,62.8193,39.9148,98.2351,98.1893,103.335,124.33,66.2311,114.96
2018-05-10,243.123,63.2234,40.7471,98.4712,98.9564,103.533,125.18,66.7482,115.28
2018-05-11,243.871,63.3917,40.6786,98.52,99.1967,103.533,125.0,66.5202,114.0
2018-05-14,243.993,63.5061,40.7307,98.4214,98.6942,103.276,124.49,65.9489,115.04
2018-05-15,242.26,63.0453,39.8882,97.9573,97.5728,102.949,122.48,64.8794,115.2
2018-05-16,243.334,63.1344,40.4898,97.8547,97.1955,102.81,122.29,64.6848,115.68
2018-05-17,243.113,63.2312,39.8718,97.7153,96.698,102.632,122.36,64.3604,115.92
2018-05-18,242.481,63.0033,39.5364,97.9673,97.5365,102.899,122.41,64.4469,115.44
2018-05-21,244.32,63.4014,39.7764,97.9772,97.5912,102.929,122.48,65.2117,117.36
2018-05-22,243.649,63.3212,39.9148,97.9772,97.4307,102.889,122.41,65.3021,116.48
2018-05-23,244.31,62.6227,39.8964,98.2641,98.1541,103.157,122.54,65.9569,116.08
2018-05-24,243.824,62.428,39.683,98.5498,98.9207,103.285,123.59,65.8222,114.32
2018-05-25,243.248,62.022,39.8452,98.7559,99.522,103.424,123.21,66.0512,109.44
2018-05-29,240.434,60.76,38.9202,99.4171,101.746,104.028,123.19,66.3658,108.08
2018-05-30,243.649,61.6855,39.2269,99.1781,101.05,103.83,123.37,67.2673,110.64
2018-05-31,242.148,61.298,39.2105,99.0886,100.883,103.899,123.1,67.0391,108.4
2018-06-01,244.522,61.8283,39.7591,98.9551,100.323,103.741,122.49,67.335,106.0
2018-06-04,245.699,62.0152,40.1628,98.7261,99.6014,103.553,122.37,67.919,104.96
2018-06-05,245.879,61.9173,39.8542,98.7957,99.8409,103.761,122.85,67.742,105.76
2018-06-06,247.919,62.474,40.4551,98.5786,99.0185,103.563,122.92,67.9033,105.28
2018-06-07,247.89,62.1198,39.8359,98.7858,99.9734,103.86,122.86,67.9033,106.8
2018-06-08,248.616,62.1893,39.7591,98.6464,99.6815,103.682,123.01,68.151,106.16
2018-06-11,248.963,62.5885,39.7591,98.5498,99.4942,103.682,123.23,68.0467,106.88
2018-06-12,249.277,62.1893,39.6565,98.5786,99.522,103.612,122.82,68.4567,107.2
2018-06-13,248.493,62.2774,39.3901,98.4811,99.4802,103.553,123.19,67.1217,107.76
2018-06-14,249.105,62.1453,39.1244,98.736,100.306,103.8,123.38,67.7597,108.16
2018-06-15,248.79,61.8283,38.8157,98.7659,100.389,103.84,121.34,67.7185,104.4
2018-06-18,248.302,61.3871,38.3433,98.7858,100.306,103.929,121.11,67.7332,106.32
2018-06-19,247.324,60.8196,37.921,98.8804,100.908,104.098,120.8,67.6644,105.12
2018-06-20,247.755,60.8637,38.0849,98.7061,99.9913,103.8,120.26,68.4203,106.24
2018-06-21,246.214,60.4303,37.5493,98.736,100.527,103.989,120.05,68.7447,106.48
2018-06-22,246.666,61.0721,37.9376,98.8117,100.521,104.147,120.34,69.2864,112.16
2018-06-25,243.314,60.2248,37.4291,98.7659,100.758,104.197,119.89,69.1064,110.16
2018-06-26,243.843,60.3334,37.281,98.9252,100.908,104.355,119.26,69.3286,114.16
2018-06-27,241.822,59.764,36.5628,99.1184,101.881,104.702,118.58,69.0632,117.2
2018-06-28,243.209,59.991,36.8751,99.1084,101.896,104.553,118.22,69.6795,118.88
2018-06-29,243.565,60.3246,37.4291,99.1981,101.545,104.593,118.65,69.8526,120.48
2018-07-02,244.092,59.7738,37.0555,99.0984,101.463,104.632,117.46,69.4672,119.68
2018-07-03,243.219,59.9538,37.0821,99.3075,101.991,104.87,118.65,69.9912,119.36
2018-07-05,245.184,60.5496,36.9886,99.3972,102.288,104.989,119.05,70.8228,118.24
2018-07-06,247.258,60.8735,37.4969,99.4868,102.62,105.147,118.86,71.1983,119.68
2018-07-09,249.497,61.4585,38.1701,99.4071,101.967,104.929,119.15,70.6331,120.24
2018-07-10,250.389,61.4301,38.0849,99.3275,101.958,104.761,118.93,70.7795,120.56
2018-07-11,248.56,60.4048,37.3423,99.3673,102.347,104.88,117.64,70.5455,114.48
2018-07-12,250.791,60.8735,37.8516,99.4769,102.337,104.791,118.13,70.7619,115.12
2018-07-13,250.99,61.0632,37.8761,99.5664,102.591,104.999,117.61,70.5455,115.76
2018-07-16,250.761,61.0349,37.671,99.457,102.171,104.711,117.55,70.1681,111.52
2018-07-17,251.795,61.1435,37.9466,99.4171,101.982,104.563,116.28,69.7061,111.6
2018-07-18,252.339,61.1523,37.9027,99.4071,101.581,104.395,116.31,69.3974,112.8
